	sex	job	blood_group	name	race	address	birthdate	current_location	ssn
31	M	Radiographer, therapeutic	O-	Micheal Smith	Asian	"7803 Johnson Street
Markmouth, UT 18576"	2021/06/27	(Decimal('-28.083998'), Decimal('-147.769159'))	789-88-1493
32	F	Electrical engineer	AB-	Leah Sullivan	White	"77794 Neal Prairie
Lake Elizabeth, MN 74004"	11/04/2003, 00:00:00	(Decimal('4.3475655'), Decimal('38.313714'))	536-58-5625
33	M	Warehouse manager	A-	Don Odom	White	"66885 Romero Parkways
Davidstad, IL 12903"	22 Jul 2019	(Decimal('-68.582643'), Decimal('-64.076184'))	297-61-6288
34	M	Counsellor	B+	Lucas Thompson	Black	"077 Mariah Courts
Bennettville, MI 43603"	26 Aug 1935	(Decimal('-43.930247'), Decimal('55.741652'))	005-02-3908
35	F	Occupational hygienist	A-	Vickie Patel	black	"USCGC Johnson
FPO AP 15007"	06/12/2011, 00:00:00	(Decimal('24.156086'), Decimal('29.304547'))	218-20-5799
36	M	Paediatric nurse	A+	Benjamin Ochoa	White	"78058 Christine Camp Apt. 322
East Crystalstad, MD 67850"	2006-01-05	(Decimal('-82.1193455'), Decimal('-118.665331'))	529-25-3006
37	F	Chiropractor	A+	Traci Franco	Asian	"4018 Wong Inlet Suite 770
Hendrixmouth, NV 05046"	1907-01-18	(Decimal('38.1190415'), Decimal('-163.207932'))	794-58-3494
38	M	Engineer, electronics	O-	Joseph White	Black	"9952 Theresa Trail Suite 369
Craigtown, DE 38868"	1932/09/29	(Decimal('59.945095'), Decimal('88.128389'))	389-99-7746
39	F	IT trainer	O-	Barbara Collins	White	"3270 Navarro Cliff
North Carlosfurt, SD 40851"	1926-11-08	(Decimal('-7.7752675'), Decimal('-78.481079'))	830-21-0094
40	F	Physiological scientist	B-	Adrienne Jones	White	"Unit 4413 Box 9758
DPO AA 97921"	1934-11-23	(Decimal('-5.5222425'), Decimal('-164.353553'))	488-70-1666
41	M	Television floor manager	B+	Tony Smith	Black	"892 Hernandez Isle Apt. 005
Johnberg, LA 56450"	11 Apr 2007	(Decimal('-71.1564435'), Decimal('-61.922951'))	065-88-5987
42	M	Education officer, environmental	O+	Christopher Adams	Indian	"69323 Jermaine Bridge
East Vicki, MN 24327"	1916-04-03	(Decimal('-23.6811605'), Decimal('-162.712507'))	568-18-4895
43	F	Advertising account executive	A-	Kathryn Adams	White	"USS Taylor
FPO AP 43858"	02/16/1917, 00:00:00	(Decimal('36.9555885'), Decimal('-110.749184'))	474-72-3017
44	M	Retail merchandiser	B+	Micheal Alvarez	Hawaiian	"0870 Martinez Vista Suite 333
Jenniferland, NV 36494"	12 Dec 1909	(Decimal('-67.443838'), Decimal('-93.305137'))	580-86-8305
45	M	Lobbyist	AB+	Robert Osborne	White	"2088 Larson Street Suite 388
Aprilmouth, FL 34352"	04 Jan 1976	(Decimal('31.344514'), Decimal('138.883845'))	109-37-0922
46	F	Bookseller	B+	Sara Cross	Black	"901 Little Rapids
Richardtown, TN 08208"	1939-11-06	(Decimal('50.260838'), Decimal('-28.259743'))	482-65-0593
47	F	Chemical engineer	B-	Tonya Hammond	black	"PSC 1037, Box 4630
APO AE 08562"	04 Mar 1946	(Decimal('-35.666078'), Decimal('-8.521649'))	081-42-8145
48	F	Planning and development surveyor	A+	Jennifer Chambers	White	"6118 Stephanie Square
Nataliemouth, ND 99368"	08/28/2006, 00:00:00	(Decimal('44.2165665'), Decimal('-12.525139'))	063-57-0413
49	F	Accountant, chartered public finance	B+	Jeanette Yang	Indian	"94492 Courtney Pass Apt. 548
East Perry, NY 46210"	1928-11-17	(Decimal('-42.5589355'), Decimal('-44.931778'))	867-05-2236
50	F	Meteorologist	O-	Renee Jennings	Hawaiian	"9535 Lori Park
Lake Sheri, NJ 54483"	25 Dec 1970	(Decimal('37.404014'), Decimal('-31.339405'))	349-77-8874
51	M	Psychiatrist	O+	Charles Lane	White	"8664 Sara Plains
Schwartzport, AL 22798"	01 Feb 2005	(Decimal('10.7010065'), Decimal('140.987198'))	694-07-2869
52	M	Mechanical engineer	O-	Aaron Hays	Hawaiian	"8318 Marshall Landing
Sheamouth, AR 65482"	1963-02-09	(Decimal('-36.253028'), Decimal('86.776778'))	589-04-7634
53	M	Plant breeder/geneticist	AB-	Michael Sparks	Black	"87915 Sandra Flat Apt. 608
Lindseyfurt, ME 13279"	06 Oct 1927	(Decimal('-71.9557785'), Decimal('44.791937'))	775-84-7927
54	M	Chartered accountant	A+	James Smith	blsck	"13854 Green Manor Suite 981
East Jakeborough, CO 89651"	1973/05/01	(Decimal('89.3348485'), Decimal('-127.380968'))	820-98-8418
55	M	Radiographer, therapeutic	B-	William Lopez	White	"PSC 1882, Box 0043
APO AA 01356"	1919-03-16	(Decimal('34.2535935'), Decimal('-142.996201'))	525-24-6844
56	M	Phytotherapist	A+	Brian Alexander	White	"506 Hughes Harbors
New Garyport, AR 20884"	1935-06-18	(Decimal('57.393596'), Decimal('-136.383634'))	462-61-1150
57	F	Furniture designer	O+	Kayla Gilbert	Black	"315 Sabrina Roads
South Lydiaville, MS 44077"	2006/10/25	(Decimal('-16.1805725'), Decimal('-176.022559'))	150-11-5074
58	F	Engineer, maintenance	AB+	Kathleen Garcia	White	"5563 Gary Route Suite 355
New Johnmouth, KS 83491"	2002-02-27	(Decimal('-39.4963025'), Decimal('-118.617837'))	496-44-9553
59	M	Pensions consultant	AB-	Xavier Gilmore	White	"921 Jones Highway
West John, WI 08875"	1942-05-11	(Decimal('58.205148'), Decimal('44.287400'))	458-36-6565
60	F	Radio producer	AB-	Jordan Rogers	Indian	"0928 Samantha Squares Apt. 957
Julieport, MA 90460"	2015-07-20	(Decimal('-6.7458515'), Decimal('-71.487556'))	866-02-8163
61	M	Psychologist, educational	B-	Stephen Newton	Black	"686 John Forest
Morrisshire, WV 76518"	2008-07-23	(Decimal('-33.6183885'), Decimal('114.161953'))	285-25-5602
62	M	Archivist	AB-	Joseph Morris	Black	"7070 Tracie Loaf
Lake Timothyburgh, NH 34678"	1965/11/04	(Decimal('-81.2141755'), Decimal('43.372191'))	771-68-4806
63	M	Public affairs consultant	AB-	Tristan Fuentes	black	"171 Hunter Rapid Suite 290
East Anthonyfort, NV 99321"	26 Jun 1992	(Decimal('25.8446695'), Decimal('-53.043910'))	828-71-0180
64	F	Paramedic	A+	Gabrielle Elliott DDS	White	"5884 Vargas Divide
Petersonberg, HI 74732"	10 May 1974	(Decimal('-19.666687'), Decimal('-43.367799'))	809-39-6063
65	M	Theatre stage manager	A+	Adam Stewart PhD	Black	"468 David Orchard Suite 171
South Aaron, MO 22575"	01/01/1978, 00:00:00	(Decimal('27.3590285'), Decimal('174.970579'))	830-01-7732
66	F	Senior tax professional/tax inspector	O-	Laurie Wilson	White	"USNV Chase
FPO AA 28682"	1998/08/01	(Decimal('-15.869048'), Decimal('-108.989798'))	898-11-5616
67	F	Meteorologist	B-	Jordan Young	Indian	"22185 Smith Viaduct
Brandonmouth, TN 26872"	20 Sep 1921	(Decimal('19.1532095'), Decimal('-116.432694'))	382-55-4075
68	F	Medical secretary	B-	Julie Mcgee	Black	"PSC 2103, Box 8983
APO AP 86742"	05 Mar 1968	(Decimal('-36.7227785'), Decimal('-26.794801'))	277-25-2990
69	F	Osteopath	O-	Nancy Bowman	White	"530 Cook Throughway
Port Jonstad, MI 91948"	03/17/1972, 00:00:00	(Decimal('-62.929538'), Decimal('31.411999'))	679-52-3467
70	M	Psychiatric nurse	A-	Richard Davis	Hawaiian	"7775 Robertson Shoal Apt. 885
Lake Jennifer, MI 69460"	1937/06/08	(Decimal('84.610672'), Decimal('-1.097570'))	032-59-3255
71	F	Product/process development scientist	O-	Angela Ross	Black	"Unit 7976 Box 2580
DPO AE 81224"	1952/12/17	(Decimal('-19.390639'), Decimal('-178.845426'))	223-43-7894
72	F	Administrator, charities/voluntary organisations	AB-	Holly Benson	Black	"2707 Garcia Stream
East Robertton, NC 75407"	11/30/2015, 00:00:00	(Decimal('5.8845395'), Decimal('-36.415761'))	409-43-2250
73	M	Buyer, retail	A+	Joseph Foster	Black	"1958 Donna Avenue Apt. 396
New Joyce, MN 64371"	1955/01/25	(Decimal('-23.3801875'), Decimal('-34.179037'))	761-65-2970
74	F	Theatre stage manager	A+	Marie Copeland	Asian	"0989 Ochoa Islands
Jamesland, WV 98898"	1971-03-12	(Decimal('11.8013885'), Decimal('-171.637333'))	835-83-4348
75	M	Theatre stage manager	AB-	Jesse Wagner	White	"Unit 4266 Box 9373
DPO AP 13695"	1919-01-23	(Decimal('-74.0452055'), Decimal('26.966963'))	132-68-4603
76	M	Environmental consultant	A+	Ryan Reed	Black	"6783 Cheryl Pike Suite 780
West Charles, NJ 63401"	1998-11-03	(Decimal('55.7727975'), Decimal('82.569248'))	706-23-8097
77	F	Mental health nurse	A-	Michele Morales	White	"3639 Kayla Oval
Port Julie, IA 82250"	12/27/2006, 00:00:00	(Decimal('-85.478006'), Decimal('155.257004'))	109-67-3006
78	M	Accountant, chartered public finance	A-	Terry Thomas	black	"3438 Martin Circles Suite 138
Amandaland, GA 09185"	1991-01-28	(Decimal('-72.3246685'), Decimal('-175.380131'))	005-21-3386
79	F	Senior tax professional/tax inspector	AB-	Rhonda Horton	White	"20901 Warren Brooks
New Evelynhaven, GA 41339"	07/23/1928, 00:00:00	(Decimal('51.3854155'), Decimal('-156.725385'))	402-33-8419
80	M	Scientist, research (life sciences)	B-	Charles Williams	Black	"USNV Larson
FPO AA 57180"	03/30/1938, 00:00:00	(Decimal('7.3507055'), Decimal('-170.347957'))	892-39-8984
81	M	Social researcher	B+	Mitchell Williams	Indian	"374 Wayne Passage Suite 700
Kaylafurt, MT 39169"	1988-07-24	(Decimal('-34.7868445'), Decimal('21.245275'))	209-91-3274
82	F	Exhibitions officer, museum/gallery	B+	Monica Luna	White	"PSC 5953, Box 4148
APO AP 75730"	1968/09/06	(Decimal('81.0506785'), Decimal('-157.739580'))	119-22-7795
83	M	Chartered legal executive (England and Wales)	AB+	Matthew Mccormick	White	"042 Jeffrey Trafficway
New Bailey, RI 70051"	30 Oct 1976	(Decimal('-58.2974685'), Decimal('21.941953'))	043-56-5052
84	M	Metallurgist	B-	Michael Meyer	White	"1082 Wyatt Turnpike
Thomasville, AR 50550"	1906/04/17	(Decimal('-77.274815'), Decimal('138.627383'))	668-04-8436
85	F	Educational psychologist	A-	Caroline Ross	white	"78840 Daniel Port Apt. 281
Jeffreyburgh, AK 32061"	1909/03/19	(Decimal('22.876131'), Decimal('149.259297'))	257-96-7811
86	M	Animal technologist	B+	Jason Love	White	"7083 Cook Manors
Port Garybury, UT 46307"	20 Feb 1964	(Decimal('-87.2781145'), Decimal('-160.942312'))	267-20-2468
87	F	Geologist, engineering	B+	Vanessa Deleon	Black	"84464 Beck Islands Suite 618
Martinport, RI 56245"	1910-09-14	(Decimal('-9.3979715'), Decimal('-75.902507'))	059-84-9318
88	M	Energy manager	A+	Joseph Matthews	Black	"7370 Brandt Villages Apt. 464
Stephenport, MD 57191"	1982-02-01	(Decimal('54.1419385'), Decimal('-174.712672'))	751-59-4290
89	F	Engineer, agricultural	A+	Tanya Thompson	White	"17011 Nelson Skyway Suite 202
West Frank, NH 75889"	11/10/1966, 00:00:00	(Decimal('38.027303'), Decimal('-14.640263'))	276-16-6968
90	F	Bookseller	B-	Michelle West	Asian	"7866 Rachel Roads Apt. 165
East Courtney, NH 59937"	1949-09-05	(Decimal('-50.836342'), Decimal('101.930747'))	633-25-3379
91	M	Radiographer, diagnostic	AB-	Nathaniel Phillips	Hawaiian	"1654 Short Glens Suite 519
Brianchester, AZ 38202"	02/15/2020, 00:00:00	(Decimal('-45.4841815'), Decimal('-154.025390'))	224-09-8828
92	M	Producer, television/film/video	B+	Jeffrey Rosario	Indian	"Unit 5210 Box 6168
DPO AP 54478"	14 May 1953	(Decimal('-12.176018'), Decimal('17.771278'))	635-36-9762
93	F	Scientist, research (medical)	AB+	Stephanie Herman	Indian	"6720 John Flat Suite 540
New Marystad, WI 02583"	1970-04-05	(Decimal('6.0276395'), Decimal('-51.252068'))	127-36-4616
94	M	Production assistant, television	AB-	James Murillo	Asian	"1620 Morgan Hollow Suite 393
Kariburgh, FL 11097"	07/30/1945, 00:00:00	(Decimal('42.378193'), Decimal('21.905382'))	241-50-4234
95	F	Armed forces training and education officer	AB-	Cheryl Kirk	White	"753 Smith Run Suite 303
West Jameston, OH 37506"	29 Aug 1955	(Decimal('53.654707'), Decimal('178.662014'))	281-43-6980
96	M	Embryologist, clinical	O+	Dean Castillo	White	"605 Espinoza Junction
Millerfurt, ND 76813"	1919/11/21	(Decimal('-79.211774'), Decimal('104.637873'))	207-56-3877
97	F	Paediatric nurse	O+	Samantha Graham	White	"13504 Andrea Skyway Apt. 485
East Dannyville, KS 43303"	1980-10-08	(Decimal('51.959951'), Decimal('-76.989720'))	462-24-5723
98	F	Administrator, charities/voluntary organisations	A-	Mrs. Lisa Edwards	White	"1511 Freeman Crest
East Jaredmouth, IA 05932"	08/01/1950, 00:00:00	(Decimal('6.052125'), Decimal('140.785700'))	692-27-7078
99	M	Translator	B+	John Martinez	Hawaiian	"511 Thompson Fork Apt. 103
East Vanessahaven, NV 21590"	2019/12/05	(Decimal('-89.2631665'), Decimal('-44.298489'))	106-63-5231
100	F	Television production assistant	A-	Melissa Burke	white	"3606 Matthews Orchard
Kristinahaven, NY 29387"	1930-07-22	(Decimal('9.589720'), Decimal('155.874042'))	277-91-1709
101	F	Bookseller	AB-	Katelyn Richard	black	"259 Sharp Oval Apt. 802
East Amyfort, KS 62618"	09/24/1914, 00:00:00	(Decimal('-59.090469'), Decimal('-84.242242'))	877-51-3281
102	M	IT consultant	O+	Robert Rowe	White	"017 Anderson Meadow
East Kenneth, DC 30321"	2021-05-21	(Decimal('-83.326422'), Decimal('74.185393'))	885-12-2973
103	F	Jewellery designer	AB-	Lindsay Elliott	Black	"6402 Flores Viaduct Apt. 558
Smithbury, ID 73705"	01 Nov 2003	(Decimal('-79.182998'), Decimal('54.815838'))	143-50-2471
104	F	Further education lecturer	AB+	Heidi King	Black	"004 Melissa Passage Apt. 323
New Andrewville, HI 05091"	12/23/1908, 00:00:00	(Decimal('-52.426478'), Decimal('53.171120'))	448-04-5403
105	M	Presenter, broadcasting	A+	Jimmy Weiss	White	"310 Mcknight Islands
Butlerberg, MO 44687"	1909-10-06	(Decimal('-21.2866295'), Decimal('-90.345621'))	407-80-3140
106	M	Therapist, art	AB+	Allen Smith	Hawaiian	"2310 Peterson Glen Apt. 925
New Kathleenborough, NE 24215"	1952-11-17	(Decimal('-56.635285'), Decimal('168.716454'))	663-47-7808
107	F	Sports coach	AB-	Lauren Nguyen	White	"910 Perez Forges
North Sherimouth, OR 11702"	02 Jun 1934	(Decimal('-61.528911'), Decimal('169.885577'))	370-38-0463
108	F	Medical technical officer	O-	Sherry Cordova	Black	"2771 Schwartz Wall Suite 843
East Brettport, MS 38761"	2006-11-04	(Decimal('29.6118015'), Decimal('53.861164'))	854-77-0229
109	M	Customer service manager	B+	John James	Black	"Unit 1036 Box 5857
DPO AA 53239"	1977-06-11	(Decimal('41.163091'), Decimal('5.660634'))	432-41-2348
110	F	Chief Executive Officer	O+	Rachel Patel	White	"PSC 0609, Box 3989
APO AP 32584"	1975/08/08	(Decimal('-66.9505045'), Decimal('-56.096047'))	517-56-4945
111	M	Radiation protection practitioner	AB+	Bryan Walters	White	"198 Walters Lodge Apt. 080
Justinbury, NJ 73457"	16 Apr 1971	(Decimal('-58.655584'), Decimal('177.667824'))	880-12-3929
112	M	Surveyor, building	O+	Timothy Parker	White	"32003 Richard Islands Suite 980
South Andrew, NV 24801"	1982-05-16	(Decimal('-68.306250'), Decimal('108.996181'))	512-32-3366
113	F	IT technical support officer	O-	Sarah Fox	Black	"23111 Lisa Squares
New Evelyn, IL 96878"	2007-06-15	(Decimal('53.6828355'), Decimal('5.399602'))	868-07-2895
114	M	Comptroller	AB+	Aaron Brown	Black	"97596 Harrison Estate
North Shannon, MD 85234"	07 Sep 1974	(Decimal('26.585629'), Decimal('-135.179367'))	045-09-7948
115	F	Technical author	AB+	Jennifer Murray	white	"62006 Wood Stravenue Apt. 166
Vickishire, VT 35776"	11 Jun 1924	(Decimal('40.7541755'), Decimal('-101.450544'))	693-84-8765
116	F	Adult nurse	AB+	Tracy Duran	Black	"477 Smith Ports
South Joshua, IN 21015"	03/23/2008, 00:00:00	(Decimal('78.6669425'), Decimal('-143.924054'))	197-59-6916
117	M	Lexicographer	AB+	Tyler Dudley	Indian	"95562 Kevin Corners
East Charlesstad, ID 49076"	2007/08/03	(Decimal('-15.920002'), Decimal('119.049971'))	583-91-2857
118	M	Advice worker	O-	Michael Garcia	White	"7295 Hannah Harbor Suite 647
East Erica, MI 37580"	11/06/1981, 00:00:00	(Decimal('85.860057'), Decimal('-50.380118'))	838-27-0223
119	F	Furniture conservator/restorer	AB-	Katrina Robbins	Black	"704 Leach Point
East Briannaport, VA 68841"	12/03/1983, 00:00:00	(Decimal('56.8495335'), Decimal('-99.721758'))	677-46-1907
120	M	Materials engineer	AB+	Brian Benson	White	"3173 Wendy Mall Apt. 635
Lake Anthony, WA 36256"	1921/03/21	(Decimal('-44.5514035'), Decimal('86.370452'))	752-40-9454
121	F	Engineer, petroleum	A-	Kathy Daniels	Asian	"2758 Janet Ways
Sheilaton, AL 45934"	18 Jan 1941	(Decimal('-6.4525555'), Decimal('23.682298'))	047-46-4357
122	F	Petroleum engineer	A+	Donna White	Black	"1944 Lee Fort Apt. 735
Lake Hannahfort, MI 72040"	26 Jan 1924	(Decimal('46.1955325'), Decimal('103.795262'))	172-98-7773
123	M	Surveyor, commercial/residential	A-	Michael Douglas	White	"3365 White Shoal Apt. 077
West Christopher, SC 89626"	17 Nov 1983	(Decimal('-24.0858835'), Decimal('115.059787'))	375-29-8237
124	F	Scientist, research (maths)	A-	Rhonda Skinner	black	"941 Gonzales Port
Brianstad, DE 03219"	12 Oct 1979	(Decimal('33.8027525'), Decimal('133.520305'))	364-55-2102
125	F	Psychiatrist	B+	Sarah Tyler	White	"911 Erika Locks
Coxborough, WI 06547"	02/12/1964, 00:00:00	(Decimal('-17.076412'), Decimal('152.099676'))	723-59-7693
126	M	Secretary, company	A+	Dennis Miller	White	"651 Julie Alley Apt. 170
Khanfurt, WV 38060"	10/27/1946, 00:00:00	(Decimal('44.2632165'), Decimal('59.893147'))	789-08-4744
127	F	Clinical cytogeneticist	A-	Tina Ibarra	White	"8118 Blankenship Brook Apt. 924
East Phillipburgh, AR 82561"	11/04/2018, 00:00:00	(Decimal('-20.593731'), Decimal('-21.858022'))	016-23-0293
128	M	Museum/gallery exhibitions officer	A+	David Yoder	White	"15418 Julie Shoals
Donaldland, CT 03892"	2003/05/02	(Decimal('-11.9373615'), Decimal('-43.961824'))	062-74-1341
129	M	Drilling engineer	B-	Melvin Reed	Black	"8375 Bobby Spur
Smithborough, TN 21717"	1945-07-26	(Decimal('-22.4287255'), Decimal('33.182159'))	680-20-0237
130	F	Surveyor, land/geomatics	AB-	Kimberly Johnson	White	"224 Nicholson Pass
Mooreside, TX 68691"	1916-06-16	(Decimal('-69.1226525'), Decimal('10.832368'))	455-84-8221
131	M	Research officer, government	B+	John Buchanan	Indian	"781 Lee View
Kaitlynhaven, MA 38466"	26 Jan 2008	(Decimal('89.5693045'), Decimal('173.709194'))	415-18-3801
132	F	Chartered certified accountant	A-	Sabrina Powell	Black	"655 James Coves
South Douglas, IA 41639"	22 Apr 2011	(Decimal('-87.5399025'), Decimal('117.196842'))	885-60-3890
133	M	Plant breeder/geneticist	O+	Shane Conrad	Black	"2989 Richard Parkways
Joshuaport, WY 13737"	07 Dec 1974	(Decimal('-59.7216965'), Decimal('-13.411751'))	753-05-0112
134	F	Engineer, energy	A-	Amanda Trujillo	Black	"65026 Mata Road
East Tracey, NH 73901"	1963/10/14	(Decimal('40.602881'), Decimal('125.846433'))	378-46-2173
135	F	Marine scientist	A-	Miss Hannah Martin	White	"59628 Gilbert Dam Apt. 572
Saundersport, MO 61715"	1997-09-09	(Decimal('-37.5797985'), Decimal('3.420665'))	136-77-6381
136	M	Psychologist, occupational	O+	Victor Black	Indian	"826 Gabrielle Hollow
Jacquelinehaven, NJ 79850"	1994/07/27	(Decimal('75.260803'), Decimal('-61.577004'))	073-27-0288
137	M	Orthoptist	AB+	Nathan Hamilton	Black	"086 Hayden Glens Apt. 162
Jacksonberg, VT 87654"	28 Jul 1983	(Decimal('-30.167757'), Decimal('146.636137'))	486-37-9957
138	F	Cytogeneticist	AB-	Crystal Clark	Black	"49907 Brandon Ridge Suite 935
Kimberlymouth, WY 94054"	1912/09/03	(Decimal('-84.394304'), Decimal('46.669896'))	204-25-0223
139	M	Engineer, drilling	AB+	Shane Walker	Black	"813 Cunningham Common Suite 815
Catherineborough, NV 02602"	23 Dec 1912	(Decimal('2.6635445'), Decimal('-57.342880'))	358-16-8915
140	M	Engineer, biomedical	B-	Brian Davidson	Asian	"57260 Gomez Plain Suite 391
Lake Andrew, DC 85989"	1932/07/03	(Decimal('6.275362'), Decimal('-85.208919'))	869-67-0734
141	F	Multimedia programmer	B+	Yesenia Hayes	White	"284 Johnson Fort Apt. 386
Robinchester, IL 56995"	1974/01/02	(Decimal('-62.7848015'), Decimal('62.792016'))	385-42-4531
142	M	Administrator	O+	Logan Vasquez	Black	"853 Campbell Passage
Williamston, PA 78678"	09/17/1950, 00:00:00	(Decimal('-7.637066'), Decimal('-48.370306'))	678-05-3947
