	er-cv	name	indicator	leukocyty	weight	ssn	relationship	etytr	smoker	erytrocyty	trombocyty	hemoglobin	ast	alp	alt	hematokrit	hbver
11	60.88580	Mr. John Dominguez	1.00000	6.05418	91.13511	038-76-6365	married	5.82734	no	6.75035	7.36199	6.31878	47.19807	90.82330	11.90211	5.63823	7.07370
12	37.80274	Charles Martin	1.00000	4.75062	84.08295	321-52-0522	divoced	6.66527	no	4.51384	6.85464	3.50771	73.74901	13.31715	7.34697	8.25129	
13	45.90824	Edward Fox	1.00000	5.34524	49.41696	799-56-9738	married	4.46119	no	4.71704	6.12707	4.75162	54.71310	59.17991	6.99463	4.75046	6.31095
14	58.93732	Andrea Mann	1.00000	5.19537	89.61914	099-15-9231	widowed	6.07468	no	6.48464	4.82813	4.31620	51.02476	35.11703	9.82264	8.26802	8.48115
15	43.85000	Benjamin Estrada	1.00000	7.60298	73.29640	216-74-7882	married	5.60030	no	4.50508	5.83883	2.25993	60.27434	27.44778	8.94818	1.64631	6.92926
16	40.87416	James Craig	0.00000	7.89039	23.47364	816-60-7552	single	7.37579	no	5.59676	6.42802	3.77784	89.31766	17.99475	10.78356	7.08132	7.60380
17	34.53685	Duane Pruitt	0.00000	6.55826	42.44023	386-91-0014	divoced	4.11510	N	7.53348	7.17969	4.56088	30.53240	52.07602	16.84088	8.29881	6.96526
18	42.35234	Adam Byrd	0.00000	7.09271	120.51024	073-55-0460	single	6.75541	N	6.30560	5.92762	5.32464	48.12780	74.44207	11.63225	7.84449	6.40476
19	54.66686	Michael Garcia	1.00000	6.20995	61.00972	838-27-0223	married	5.14939	no	4.21005	5.35060	5.47319	27.36264	79.73528	1.68467	5.47405	7.10006
20	19.53625	Anthony Morris	0.00000	6.38812	91.84481	566-87-0590	divoced	7.23577	no	5.31801	6.95140	7.65781	59.07283	56.87816	8.16583	8.72456	6.03277
21	74.87149	Maureen Roth	0.00000	5.77591	58.92666	741-38-3354	widowed	5.29919	no	4.91217	5.88867	4.74611	59.35129	49.10880	13.94413	7.85659	6.81406
22	32.17196	Kathryn Griffin	1.00000	4.36888	147.27998	785-73-4934	widowed	5.34225	Y	8.52045	6.25450	6.30610	31.65365	92.12513	29.33766	7.92267	7.77790
23	55.79133	Edward Walker	0.00000	6.85168	59.28879	055-93-3404	married	6.54669	no	5.28232	6.69817	6.83461	51.97117	86.41822	6.66324	7.47857	8.63178
24	69.56396	Corey Smith	1.00000	4.51944	16.63755	352-80-3806	married	6.95517	Y	5.37385	6.18085	7.45369	45.00055	66.94609	7.39436	9.12363	9.13481
25	33.33456	Kayla Harrison	1.00000	4.76794	52.61057	275-26-2438	nop	6.36178	no	6.67930	8.40571	3.20728	45.88140	5.92129	13.34310	9.59264	5.11306
26	48.60345	James Castro	1.00000	5.06565	58.03654	012-45-8216	widowed	6.33338	Y	7.07499	7.04094	3.72690	62.55857	24.88508	13.09209	8.98153	6.20209
27	43.78853	John Allen	0.00000	7.45895	53.65629	809-28-0127	divoced	5.08499	no	6.30058	5.62122	6.18327	40.28444	92.13933	13.35526	7.52558	5.37498
28	66.88720	David Curry	1.00000	7.60650	27.43055	019-95-2867	married	6.92132	yes	5.83765	6.13999	7.86910	39.38305	43.74677	8.85519	7.81310	8.17547
29	37.62834	Kenneth Jones	1.00000	5.32688	79.86497	286-91-3680	married	5.40591	yes	7.14186	7.36108	5.68686	56.02080	81.19398	20.86402	7.98157	9.66633
30	32.62523	Michaela Moore	1.00000	5.40857	105.65929	257-93-7699	widowed	6.30770	no	6.02199	7.16815	2.98326	50.37546	7.29957	12.65231	5.87172	6.42526
31	44.56335	Robyn Gibson	1.00000	5.46790	40.51950	348-91-1520	separated	7.60164	no	7.46026	8.00650	3.28673	59.41170	13.25799	18.09617	6.99658	5.67717
32	49.18637	Becky Lopez	1.00000	5.63573	63.40961	708-67-0601	divoced	6.53045	yes	7.05948	7.10126	1.35070	48.23460	58.73142	13.44401	8.25633	4.46869
33	45.96683	Jennifer Garcia	1.00000	5.35743	110.69260	468-68-1693	widowed	6.98432	no	4.92468	5.75155	4.64248	73.39236	52.31252	5.98112	7.88008	7.34365
34	27.79972	Kelly Garcia	1.00000	4.31881	82.97933	830-31-6261	separated	4.29610	Y	6.74242	5.68283	6.96857	42.51034	75.46662	14.07144	8.91891	9.34159
35	65.25878	Phillip Hunt	1.00000	7.54360	54.80462	537-93-7177	separated	5.98136	no	5.82635	5.28212	4.97858	47.71707	68.38772	6.58646	4.95180	7.63265
36	42.09905	Matthew Warner	1.00000	8.48417	111.99765	472-35-8937	nop	6.63696	yes	6.73850	5.91957	4.34852	46.93939	39.78240	11.53825	2.47812	8.80201
37	48.00518	Mark Turner	1.00000	5.10759	32.19636	579-53-9134	separated	5.63696	Y	5.07763		4.84173	35.56476	55.68234	8.12237	5.59011	8.41524
38	29.09160	Edward Walker	1.00000	5.69752	9.54380	055-93-3404	married	7.13068	Y	4.77546	7.27469	5.85200	75.41077	87.39142	13.31348	4.44276	6.99649
39	29.41274	Ana Howard	0.00000	4.72261	112.01921	358-70-0526	single	5.46276	Y	6.24341	6.37785	5.95925	55.97514	82.51184	12.38461	7.02681	8.07299
40	56.25625	Dr. Mary Beard	0.00000	8.88201	32.78881	450-27-8692	divoced	7.32676	yes	5.60681	5.45348	6.01142	28.84937	90.48848	7.66236	5.76209	7.66013
41	40.47834	Ryan Reed	1.00000	10.29486	97.21380	706-23-8097	nop	5.45574	no	5.99929	5.34166	4.36996	42.59219	40.31543	9.22207	5.27017	9.04579
42	54.24504	Robert Mcintosh	0.00000	6.34511	77.53849	090-76-6085	nop	5.37539	yes	4.49544	6.09053	3.46756	57.57833	8.53243	12.30388	8.45935	8.68467
43	33.89203	David Huber	1.00000	5.38133	78.28979	527-08-6172	widowed	5.34950	N	5.27796	4.41645	4.22586	41.92002	29.68508	8.57508	6.60334	8.61379
44	35.42452	Kelly Turner	0.00000	7.38750	23.60466	239-35-4900	divoced	5.98104	Y	5.98090	5.61158	4.46358	27.31524	45.98471	9.36737	7.67304	6.47090
45	39.09367	Sarah Harris	1.00000	5.60645	87.74301	596-20-4799	married	7.03292	no	5.56063	5.53614	3.84913	90.26234	14.93658	7.41015	5.32379	8.02656
46	70.26214	Steve Morales	0.00000	6.97828	87.91977	673-25-2291	separated	7.41223	yes	7.23462	7.27583	5.21426	31.19524	70.89022	14.22694	7.74435	7.75388
47	53.68802	David Carlson	1.00000	6.78867	86.28095	612-47-0596	widowed	7.92270	no	7.09525	6.48232	3.79196	62.18266	17.87285	13.26306	3.57664	6.80238
48	48.42707	Charles Alvarez	1.00000	6.73362	116.85049	533-89-3748	divoced	5.35786	no	7.56616	5.55048	6.56865	38.82196	94.76354	17.93390	5.41374	7.75703
49	20.31192	Mrs. Alexandra Wilson MD	1.00000	5.12627	143.99207	292-64-9114	married	4.60786	yes	6.74686	6.52823	4.74568	59.55584	60.67443	12.30937	8.23057	8.26704
50	60.02150	Sean Fitzgerald	1.00000	8.33934	53.89574	520-53-4003	divoced	7.09026	yes	6.97497	5.62236	2.74327	51.26363	11.46157	10.96274	3.42684	7.28309
51	55.18818	Jose Maynard	0.00000	6.89795	4.87756	090-03-0828	married	6.66470	no	6.68900	6.41382		63.68203	56.02581	14.47536	6.91796	7.06531
52	59.87200	Michael Reid	1.00000	4.46845	87.40203	860-38-0717	married	3.91952	yes	6.20644	6.55230	5.37245	58.43808	78.13675	13.23679	7.36595	5.72475
53	73.73947	Charles Fisher	1.00000	4.76070	60.63365	166-33-4947	divoced	6.66107	no	7.89781	5.11270	7.78098	31.97759	56.73454	20.84596	5.84323	9.31176
54	45.02795	Emma Doyle	1.00000	4.79674	73.85736	535-72-9404	divoced	5.51417	yes	7.53949	7.26315	6.11066	59.33853	90.46260	16.98631	8.11133	8.28889
55	38.25570	Jose Perez	1.00000		112.34146	424-88-7885	married	6.21105	Y	4.93262	4.77972	5.29960	48.77508	69.82506	7.64779	8.33592	8.66041
56	82.26319	Michael Gibson	0.00000	6.79850	87.38761	189-63-4392	divoced	6.06375	Y	5.37041	6.40059	6.90690	38.72081	83.34248	8.11734	5.68689	7.98791
57	37.51689	Alexander Griffin	0.00000	8.09998	53.60757	264-18-8502	single	4.74371	no	5.66417	6.64857	9.53366	34.38231	13.07987	4.27585	6.83310	7.86124
58	41.18274	Anna Lindsey	1.00000	6.13113	79.00431	007-15-3360	married	5.40349	N	6.95126	5.59378	5.46566	41.46585	79.07919	13.58269	4.69549	6.98272
59	61.36811	Robert Owens	1.00000	6.77456	88.30810	327-77-5860	single	7.67295	N	6.06847	8.28854	4.58177	43.60255	48.63649	9.34282	4.42017	6.77306
60	65.31724	Andrew Davis	0.00000	7.25994	32.08416	749-14-1364	divoced	7.18031	no	3.87752	6.77604	3.77943	30.85396	19.74552	13.88382	7.69298	7.61792
61	73.31335	Joseph Hill	1.00000	7.93815	36.84011	635-73-4684	nop	7.15118	yes	7.18234	5.47483	5.61205	36.90977	77.92528	9.33286	4.68434	8.40181
62	6.03398	Jacqueline Collins	0.00000	8.52124	114.16977	621-13-0931	single	6.59153	Y	4.94334	5.14926	7.28084	50.10415	71.62177	6.95270	5.45333	9.21612
63	25.83042	Jennifer Patterson	0.00000	7.22979	71.48052	768-87-4253	single	6.54965	no	5.84924	5.68887	6.66662	82.58676	87.38866	13.81744	7.35055	7.46631
64	42.82351	Amber Brown	0.00000	11.07478	65.46985	635-30-0608	single	6.12724	yes	3.40572	5.47949	4.88873	66.38662	55.34602	9.90027	4.07791	5.92364
65	46.52325	Angelica Higgins	1.00000	7.35391	22.35132	469-31-4988	married	7.13275	no	5.80029	6.80533	6.92243	68.75929	78.11763	8.41899	5.57501	8.47600
66	51.32728	Christopher Herrera	1.00000	8.73297	101.11445	571-60-2471	divoced	5.19884	no	6.07106	5.05768	5.20299	83.12711	66.85527	11.08131	6.38351	8.12225
67	24.33949	Lynn Taylor	1.00000	5.27682	55.09258	437-90-9010	married	6.06088	no	5.56841	5.37185	6.71283	53.44188	83.37084	7.50245	7.55479	9.05927
68	56.95389	Debra Davis MD	1.00000	4.72392	73.64509	829-18-4660	married	5.50058	N	5.91977	9.21612	4.29445	35.73912	37.06192	5.37676	7.30827	6.52513
69	67.58834	Kenneth Callahan	0.00000	6.08649	54.60314	403-56-1586	nop	6.28522	yes	5.82430	6.01780	5.71311	71.97196	89.71297	10.13061	6.18383	6.84907
70	52.61427	Grant Walker	0.00000	4.89805	109.92680	307-45-9269	divoced	6.17059	no	7.66262	7.28141	4.09600	60.37352	20.79856	20.24951	9.77926	8.73607
71	56.32308	Nicole Shaffer	1.00000	6.87403	77.70457	082-99-8477	divoced	5.69062	yes	7.68596	5.05723	5.39854	79.51957	76.16325	20.82107	4.39193	7.48372
72	62.85500	Nicole Davidson	1.00000	6.73426	11.58529	118-98-3881	widowed	7.48616	no	6.39332	6.20476	4.60589	41.89241	41.22558	9.42198	5.32422	6.73176
73	21.81643	Roy Patterson	1.00000	4.74306	13.92671	704-93-9053	married	6.99568	yes	7.64808	5.17603	5.34675	49.64711	73.76357	20.55180	6.39526	5.45822
74	52.98972	Jeff Dyer	0.00000	8.24574	89.69507	035-26-7995	single	6.59256	yes	6.90298	5.58728	6.56081	32.73562	95.93868	8.77723	8.59003	8.00143
75	52.84046	Christopher Lynn	1.00000	5.10142	88.74438	510-88-9917	single	6.13880	no	6.29924	7.30031	4.81571	31.88130	60.85762	8.22553	6.62514	5.90128
76	47.03906	Troy Moore	0.00000	6.81544	46.96294	293-65-6489	divoced	6.58052	no	5.85778	5.42037	5.16341	66.88804	72.08007	8.54916	7.84471	8.10410
77	63.54285	Crystal Wheeler	1.00000	6.70932	20.63413	445-63-5147	separated	5.20810	yes	8.43696	7.56796	3.71042	59.52860	17.16005	27.14213	3.74331	6.71189
78	33.14622	Heather Lawrence	0.00000	8.77832	7.12945	139-68-9690	widowed	7.71276	Y	6.73295	4.99416	6.97819	27.75005	89.47297	11.41137	5.83045	7.12900
79	38.83512	Tonya Whitehead	0.00000	7.47317	59.42218	867-66-0200	single	8.22595	yes	4.84458	6.52502	7.36592	51.85758	72.33501	8.77764	8.32684	7.49761
80	54.13016	Adrian Perkins	0.00000	7.83979	83.01312	168-59-8196	single	4.83891	no	6.45476	5.90865	3.48055	49.69734	9.82336	10.42540	7.31455	6.75206
81	44.36132	Robert Christian	1.00000	8.63134	110.38756	110-21-5797	single	5.37152	no	5.34291	6.32440	4.31665	43.65707	33.76550	9.23277	6.24314	7.84166
82	78.65833	Mary Lopez	0.00000	6.87910	84.32988	757-99-0281	divoced	5.43727	no	6.87650	6.90766	5.94878	55.15849	90.39768	11.18892	7.27540	7.34253
83	36.72085	Angela Vega DVM	1.00000	7.01116	29.61030	796-66-7616	divoced	5.68050	no	6.10376	8.66900	6.75277	54.83726	88.11634	9.40039	6.17540	7.72969
84	42.56758	Christopher Herrera	1.00000	5.96059	8.57239	571-60-2471	separated	5.43986	Y	7.61350	6.41369	5.28054	77.88034	70.58824	14.55604	3.84925	7.29711
85	56.77585	Rebecca Martin	0.00000	9.95883	12.83292	551-07-3263	divoced	5.93843	no	5.75460	6.44802	4.47439	60.75155	41.25222	8.49491	5.18772	6.22266
86	94.04512	Whitney Haney	0.00000	6.12753	87.83775	403-64-0110	nop	7.40802	no	4.80689	6.40875	7.87629	58.48072	44.43073	10.99728	6.59470	6.16612
87	57.21911	Linda Larson	0.00000	8.40807	25.25248	358-67-4012	married	6.79050	yes	4.42684	5.39785	9.40004	75.19101	13.45821	6.61688	8.16503	7.82134
88	41.31023	Christopher Alvarado	1.00000	9.16927	-0.67891	434-01-5097	married	5.72930	no	6.12707	7.26476	5.86457	45.57287	85.52573	8.68946	6.25091	8.76127
89	60.54483	Rachel Hernandez	0.00000	6.03274	47.25286	604-94-8865	single	7.18266	yes	5.35317	6.13341	4.66485	50.36126	49.78538	11.31244	8.58891	8.76103
90	67.55475	James Taylor	1.00000	8.08127	92.33783	182-96-0455	married	6.15873	yes	4.70023	5.93954	3.64844	71.42845	8.94311	6.37582	4.59909	7.17000
91	49.84133	Hunter Lane	0.00000	5.95016	60.40796	541-60-5141	married	5.81620	no	6.87735	6.73651	5.10340	43.54970	67.16222	14.79666	4.37536	6.69593
92	74.61293	Mark Harris	1.00000	4.84472	102.70359	358-47-5504	widowed	6.68881	yes	5.77085	6.85487	5.03538	72.91481	63.30032	10.23799	9.56405	8.94872
93	46.64928	Kevin Walsh	1.00000	8.06439	12.79867	696-10-3503	widowed	5.56883	no	6.79562	5.37378	4.70076	40.15932	53.66502	16.58104	6.19463	6.74411
94	46.24386	Brandi Ponce	1.00000	5.31409	24.01223	270-98-0864	married	5.46221	no	5.94408	6.43856	4.92093		60.70252	15.09726	8.53104	7.45534
95	57.82867	Angela Vasquez	1.00000	5.56946	38.43307	126-31-8092	single	7.37903	yes	4.74528	4.15305	5.19886	52.80309	68.52999	8.32922	8.48211	8.84919
96	34.07182	Tara Brown	0.00000	7.68784	35.11217	810-90-0924	married	6.79670	no	6.19636	7.19763	7.16002	45.52373	77.70892	7.46194	6.84405	7.20435
97	56.34310	Jacob Erickson	0.00000	7.22658	73.60358	059-91-2288	married	6.71175	Y	7.22084	6.79392	10.31151	80.83081	30.94935	15.85545	8.47702	6.08575
98	30.75817	Kristine Underwood	1.00000	4.86997	50.11232	807-52-9842	widowed	8.17764	N	6.37142	6.28152	4.56261	52.12755	44.79888	12.19996	8.23428	7.04877
99	34.16394	Jason Padilla	1.00000	4.92892	26.05085	033-97-8028	separated	8.32014	no	6.35155	4.07046	7.04705	50.77706	82.05998	11.91013	7.93803	5.36862
100	61.45953	Maria Greer	0.00000	5.82805	33.97306	744-90-2788	widowed	6.06180	yes	6.73234	5.74757	6.45485	35.79464	87.53160	11.09502	10.38325	5.42332
101	38.44572	Natasha Mayo	1.00000	4.88305	63.75930	009-91-6274	married	5.53822	no	6.76677	6.47368	6.19886	40.12251	90.50915	11.30573	5.79247	7.59124
102	60.06916	John Hines	1.00000	5.79243	-18.77172	770-88-8546	divoced	6.41266	no	6.99481	6.94198	5.16415	70.46951	66.80445	13.09623	4.78409	6.55334
103	55.80333	Charles Jacobson	1.00000	5.43726	148.09767	494-72-3722	divoced	6.68116	Y	5.90805	4.45880	5.45241	67.05534	75.49046	6.93104	7.38703	8.31698
104	48.62926	Timothy Brown	1.00000	8.21889	62.03089	347-63-8026	married	4.54703	N	6.95933	4.71936	5.98875	53.49245	81.86359	16.96360	7.04509	7.63197
105	42.87201	Jennifer Patterson	0.00000	8.94811	44.47189	768-87-4253	nop	6.60071	Y	7.35717	5.31993	7.66802	58.26915	57.30123	17.99018	8.22430	8.71015
106	45.94708	Anthony Stark	1.00000	7.17994	76.47817	535-94-5574	divoced	6.29595	no	4.95488	5.75376	6.05757	53.66491	90.76143	7.95308	5.55875	7.81950
107	61.22466	Lynn Evans	0.00000	7.85531	67.52058	237-96-8573	single	6.12568	yes	6.99590	7.43975	6.85233	53.26457	80.49248	9.51022	6.96727	8.07593
108	36.65194	Rhonda Beasley	1.00000	4.59366	18.38753	543-72-9009	married	6.53691	Y	7.23254	4.24655	3.04669	33.65734	16.68272	13.68787	5.89678	4.77522
109	46.60135	Sarah Heath	0.00000	7.15641	106.33868	323-50-9655	separated	6.86111	Y	6.45590	7.04217	5.31603	41.22814	75.08680	7.69513	5.39840	7.21676
110	58.60839	Rhonda Horton	0.00000	8.20488	43.02651	402-33-8419	divoced	5.97993	N	7.37917	5.22340	10.30533	62.31257	25.35521	11.70776	6.63679	7.65824
111	46.33586	Anthony Baker	1.00000	7.30827	97.59364	766-60-9533	widowed	6.10551	Y	6.85021	5.50470		47.80891	47.90356	13.76904	8.84381	6.53443
112	47.19518	Matthew Edwards	1.00000	4.92777	126.55095	408-98-0477	single	7.30208	no	6.06807	4.92836	6.71831	65.07210	84.98449	9.22877	8.87087	9.54645
113	63.78939	William Mills	1.00000	6.43740	11.07141	174-30-7523	nop	5.97827	no	5.62639	6.52979	4.13166	36.40288	30.94332	10.42576	4.22561	6.17391
114	52.70935	Mary Mitchell	1.00000	5.20243	134.59423	297-29-9582	married	5.73335	yes	7.36727	5.67372	5.42360	35.61606	78.68267	13.69792	8.35504	8.30429
115	42.94291	Carrie Spears	0.00000	6.97412	98.67732	028-30-8792	separated	8.09698	N	6.63327	5.66436	8.24502	39.74437	32.59634	10.08833	7.23286	6.99976
116	41.21813	Victoria Brandt	1.00000	7.59106	6.87387	673-03-4317	married	6.80515	no	6.46846	6.06030	8.17110	25.36233	37.30054	12.55255	8.99478	7.35264
117	37.03520	Ann Murphy	0.00000	7.45931	40.80580	251-97-4646	separated	3.69333	yes	7.33742	7.09694	6.00637		80.67949	14.64702	6.95625	7.97075
118	37.44813	Angel Casey	1.00000	5.17373	108.35904	864-87-7287	widowed	5.03375	yes	4.81204	4.81492	5.60132	55.84782	79.51330	5.25177	7.64992	8.12972
119	43.28748	James Mendoza	0.00000	7.40558	100.07445	356-06-2307	separated	5.92564	no	5.64270	6.64639	9.26231	32.67436	5.94637	12.06996	7.74743	7.04269
120	36.49452	Willie Duran	0.00000	4.85164	91.76439	067-77-0966	single	7.55309	yes	6.90010	5.55010	7.89606	20.79979	53.74033	11.90625	6.64582	4.96641
121	67.17418	Kenneth Sanchez	1.00000	4.77897	114.40254	624-52-8891	divoced	7.68460	Y	5.43144	5.81752	6.22958	64.99464	96.24037	12.43825	7.00337	9.11402
122	43.73656	Stephanie Boyd	1.00000	4.52167	135.75483	748-90-5428	divoced	6.95739	no	5.34657	5.66331	6.01080	49.71486	84.72843	9.39656	8.57731	9.11179
123	42.37327	Amy Dyer	0.00000	7.89321	32.66432	701-20-8845	married	7.18934	yes	6.16499	7.27444	4.41738	47.25649	44.62770	9.18473	6.94070	7.86904
124	48.19534	Jeremy Brown	1.00000	7.88939	96.59210	499-54-7510	single	5.49215	no	6.04591	7.65240	5.33189	59.92658	66.88716	9.67714	3.68558	8.98945
125	59.42368	Erik Cross	0.00000	6.72698	42.49197	317-14-7840	single	5.57523	Y	4.61817	5.21643	2.93126	33.12167	17.95583	12.46585	8.44915	7.08941
126	58.67900	Robert Nelson	0.00000	7.41384	64.81503	869-43-8859	divoced	7.00541	no	3.54400	5.73091	6.35335	41.98195	83.07783	10.92987	7.92257	7.70461
127	49.87861	Tim Williams	0.00000	7.10613	49.98996	731-04-7572	single	7.57677	no	6.21664	5.63203	4.15976	65.73632	25.97104	6.87740	7.64674	8.56937
128	40.69025	Shelley Kelley	0.00000	6.43173	47.50568	061-95-3559	nop	6.17252	no	6.71811	4.88322	5.97883	73.76213	82.09947	11.53283	8.04779	8.46148
129	66.39738	Stephanie Whitehead	0.00000	8.02196	62.15816	271-78-0725	single	6.82803	Y	4.10613	6.24628	5.49002	25.25587	79.97142	2.37648	6.81960	6.88697
130	41.99597	Eugene Winters	1.00000	4.74019	50.33986	283-71-4861	divoced	6.58869	no	4.09265	6.21363	6.93447	69.79478	84.62269	8.69274	6.19671	9.60617
131	30.61465	Matthew Hughes	1.00000	8.46885	18.36856	794-34-2168	widowed	4.51150	no	7.96954	7.89279	3.56478	26.79106	16.09283	24.44622	4.87075	7.28759
132	53.61503	Edward Johnson	1.00000	4.84235	137.89738	592-40-7949	divoced	5.42630	no	6.39363	6.37234	5.12613	61.83533	70.98556	11.26983	6.60581	6.52923
133	82.69482	Brett Barnett	0.00000	7.52093	22.03713	804-46-5492	widowed	4.90726	yes	6.89252	5.03220	7.80807	33.34882	46.33564	7.08169	6.41570	7.82505
134	54.23761	Amber Wiggins	1.00000	9.07891	51.43360	854-65-2235	separated	6.10003	no	6.18650	6.79845	5.49905	39.84383	83.01266	7.54757	5.75932	8.53885
135	80.14088	Whitney Haney	0.00000	4.87401	33.97243	403-64-0110	divoced	6.03069	no	6.82366	6.35131	4.94827	29.62508		14.44803	9.73103	8.50231
136	47.52515	Joshua Mcfarland	1.00000	4.86068	106.15763	320-26-8940	divoced	6.56777	no	6.44956	4.79651	6.40294	59.29901	87.99941	11.06723	6.68657	5.65328
137	77.39676	Erin Spencer	1.00000	9.46209	47.68291	058-45-5864	divoced	6.38283	no	6.76984	4.89970	5.49141	48.82627	71.82515	12.19827	5.85739	8.88732
138	66.24389	Erika Jennings	1.00000	4.49045	75.21139	129-04-9884	married	4.83299	no	7.87811	7.58947	5.94124	65.19449	83.86666	19.03072	6.27642	7.42087
139	52.33453	Brian Flores	0.00000	7.60862	143.43663	488-45-8473	separated	6.49499	no	5.95721	5.65804	4.55598	25.06873	40.81535	10.14716	7.25330	7.58974
140	76.18543	Terri Figueroa	0.00000	8.83096	64.96718	887-76-8306	married	6.00285	N	5.48773	6.33931	7.19411	38.61629		4.39410	5.73801	9.38135
141	61.39327	Timothy Brown	0.00000	7.61305	111.31999	347-63-8026	married	6.16364	no	7.21381	5.54220	5.75853	62.32379	85.27717	14.07984	7.34986	6.05007
142	50.26755	James Norman	1.00000	5.41591	135.66798	021-79-9581	separated	6.95397	no	4.62790	5.64439	4.81117	46.26538	50.56933	10.11268	6.98466	8.68749
143	52.00996	John Wallace	0.00000	7.57014	145.96086	559-01-1731	separated	7.04285	no	6.31648	7.58952	6.67846	36.08613	92.30637	12.23096	6.88971	8.18137
144	42.98213	Christina Phillips	0.00000	6.76639	87.59609	376-28-2083	divoced	6.21219	Y	4.96453	4.62797	5.51275	53.14999	78.88435	4.75602	7.96597	7.34419
145	35.21487	Amanda Taylor	0.00000	9.05251	54.96177	257-79-1871	married	6.89753	no	6.36770	6.08892	4.68800	49.39495	49.32072	6.16203	6.02795	6.33778
146	53.34173	Alec Garcia	1.00000	5.49650	27.26972	840-21-9130	single	7.27329	Y	5.29099	6.87384	2.10811	75.18159	34.29042	12.30092	5.71750	5.61005
147	53.43321	Pamela Flores	1.00000	8.00341	52.49654	526-03-3103	widowed	7.52190	no	6.09004	6.33564	4.29438	63.76472	34.24055	7.40517	4.27693	7.45016
148	68.62855	Rachel Rivera	0.00000	6.20574	47.72613	454-28-9511	single	6.54819	no	5.17807	5.66854	3.42666	43.63563	13.32480	7.43725	8.84155	7.29467
149	41.93500	Ann Barrera	1.00000	6.59341	29.78874	193-94-2743	nop	7.20075	no	5.43767	5.21122	3.94633	64.52103	26.61477	6.56289	2.08207	7.53169
150	56.01625	Pamela Thompson	1.00000	5.08645	55.82812	086-47-8758	widowed	5.50902	no		6.39049	4.85129	36.92257	58.38610	21.60754	8.70997	6.52799
151	36.52694	Rachel Ruiz	0.00000	6.77668	24.73387	367-81-9900	nop	6.18806	no	6.18394	5.34071	10.21421	54.29255	29.62643	12.09698	4.97644	6.33390
152	36.59880	Benjamin Estrada	0.00000	5.49806	106.18730	216-74-7882	widowed	6.51992	yes	5.00500	7.84804	5.52982	71.88060	77.68173	7.42468	6.81003	10.07661
153	39.28973	Connie Bender	0.00000	8.82226	133.66597	691-11-7763	married	7.80012	no	6.37004	6.44264	5.47065	43.45797	81.21765	8.60514	6.25011	5.79950
154	43.98504	Lynn Evans	0.00000	5.38728	108.57285	237-96-8573	married	7.51406	no	8.31689	6.37546	2.85020	85.65355	12.23442	24.92884	8.36103	5.23582
155	43.95108	Jordan Obrien	0.00000	7.82554	63.71560	477-61-7022	single	7.19812	no	5.66256	4.38267	2.22155	55.82299	29.90123	8.13151	7.37724	7.59395
156	48.06840	April Williams	0.00000	5.42256	55.88424	377-26-8024	divoced	6.42333	no	6.41062	6.11989	4.48784	64.92250	38.87632	8.25148	9.32811	8.00799
157	65.55236	Francisco Rivera	1.00000	4.91979	35.10870	341-88-1192	divoced	6.38565	no	5.91776	6.10721	6.99404	42.00008	74.21579	16.49021	7.49518	9.45526
